date,day_of_week,menu_item,prepared_portions,served_portions,leftovers,attendance
2026-05-01,4,Pasta,120,95,25,100
2026-05-02,5,Chicken Wrap,110,88,22,100
2026-05-03,6,Rice Bowl,100,82,18,95
2026-05-04,0,Pizza,130,104,26,100
2026-05-05,1,Salad,90,70,20,92
2026-05-06,2,Pasta,120,92,28,98
2026-05-07,3,Sandwich,100,85,15,100
2026-05-08,4,Chicken Wrap,110,90,20,100
2026-05-09,5,Pizza,130,100,30,100
2026-05-10,6,Rice Bowl,100,80,20,95
2026-05-11,0,Pasta,120,90,30,100
2026-05-12,1,Salad,90,72,18,92
2026-05-13,2,Sandwich,100,83,17,100
2026-05-14,3,Pizza,130,105,25,100
2026-05-15,4,Chicken Wrap,110,87,23,100
2026-05-16,5,Rice Bowl,100,78,22,95
2026-05-17,6,Pasta,120,93,27,100
2026-05-18,0,Salad,90,68,22,92
2026-05-19,1,Sandwich,100,82,18,100
2026-05-20,2,Pizza,130,102,28,100
2026-05-21,3,Chicken Wrap,110,89,21,100
2026-05-22,4,Rice Bowl,100,77,23,95
2026-05-23,5,Pasta,120,91,29,100
2026-05-24,6,Salad,90,69,21,92
2026-05-25,0,Sandwich,100,84,16,100
2026-05-26,1,Pizza,130,103,27,100
2026-05-27,2,Chicken Wrap,110,86,24,100
2026-05-28,3,Rice Bowl,100,79,21,95
2026-05-29,4,Pasta,120,94,26,100
2026-05-30,5,Salad,90,71,19,92
